step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
10200,4.0338,56.5,,,0.00020541402160140332,,50609,15.64,6747.5
10250,3.999,54.5,4.0822,59.3,0.00020459735999123614,,46500,15.64,6782.7
10300,3.6567,38.7,,,0.00020377910983003202,,50614,15.64,6815.1
10350,3.8956,49.2,,,0.00020295930394402333,,50509,15.64,6847.5
10400,3.9534,52.1,,,0.0002021379752218545,,50590,15.64,6879.9
10450,3.8919,49.0,,,0.00020131515661326238,,49865,15.64,6912.7
10500,3.8094,45.1,3.9929,54.2,0.0002004908811277545,,45848,15.64,6948.5
10550,4.135,62.5,,,0.00019966518183328489,,50489,15.64,6980.9
10600,3.838,46.4,,,0.00019883809185492724,,50477,15.64,7013.4
10650,3.6787,39.6,,,0.00019800964437354627,,50482,15.64,7045.8
10700,3.8852,48.7,,,0.00019717987262446633,,50488,15.64,7078.3
10750,3.8104,45.2,4.0538,57.6,0.00019634880989613835,,46718,15.64,7113.4
10800,3.9643,52.7,,,0.00019551648952880417,,50448,15.64,7145.8
10850,4.2993,73.7,,,0.0001946829449131591,,50615,15.64,7178.2
10900,4.0941,60.0,,,0.0001938482094890123,,50619,15.64,7210.6
10950,4.0368,56.6,,,0.00019301231674394547,,50163,15.64,7243.2
11000,4.0708,58.6,4.0068,55.0,0.00019217530021196908,,46720,15.64,7278.3
11050,3.9819,53.6,,,0.0001913371934721773,,50496,15.64,7310.8
11100,4.1073,60.8,,,0.0001904980301474008,,50483,15.64,7343.2
11150,3.7891,44.2,,,0.00018965784390285794,,50442,15.64,7375.7
11200,3.9779,53.4,,,0.00018881666844480414,,50460,15.64,7408.2
11250,3.9336,51.1,4.0107,55.2,0.00018797453751917965,,46701,15.64,7443.2
11300,4.0779,59.0,,,0.0001871314849102559,,50630,15.64,7475.6
11350,3.7885,44.2,,,0.00018628754443927997,,50615,15.64,7508.0
11400,3.9921,54.2,,,0.00018544274996311783,,50618,15.64,7540.3
11450,3.8951,49.2,,,0.00018459713537289605,,50617,15.64,7572.7
11500,4.0784,59.1,3.9808,53.6,0.0001837507345926423,,46172,15.64,7608.2
11550,4.2948,73.3,,,0.00018290358157792424,,50650,15.64,7640.5
11600,4.1012,60.4,,,0.00018205571031448744,,50623,15.64,7672.9
11650,3.8754,48.2,,,0.00018120715481689177,,50620,15.64,7705.3
11700,3.8422,46.6,,,0.00018035794912714702,,50643,15.64,7737.6
11750,4.09,59.7,3.9573,52.3,0.00017950812731334708,,46252,15.64,7773.1
11800,4.0761,58.9,,,0.0001786577234683033,,50630,15.64,7805.4
11850,3.6802,39.7,,,0.0001778067717081768,,50629,15.64,7837.8
11900,3.8037,44.9,,,0.0001769553061711095,,50649,15.64,7870.1
11950,4.0009,54.6,,,0.0001761033610158551,,50627,15.64,7902.5
12000,3.954,52.1,4.0208,55.7,0.0001752509704204082,,46872,15.64,7937.4
12050,3.7302,41.7,,,0.00017439816858063356,,50604,15.64,7969.8
12100,3.5063,33.3,,,0.00017354498970889397,,50577,15.64,8002.2
12150,3.9089,49.8,,,0.00017269146803267787,,50621,15.64,8034.6
12200,3.8649,47.7,,,0.00017183763779322618,,50620,15.64,8066.9
12250,3.7791,43.8,3.9459,51.7,0.0001709835332441587,,46057,15.64,8102.5
12300,3.8087,45.1,,,0.00017012918865009978,,50688,15.64,8134.8
12350,3.8885,48.8,,,0.00016927463828530384,,50630,15.64,8167.2
12400,2.5607,12.9,,,0.00016841991643228032,,50617,15.64,8199.6
